month,rv,log_rv,NPI,ANP,SNP,NPI2,log_rv_lag1,log_rv_lag2,log_rv_lag3,log_rv_lag4,log_rv_lag5,log_rv_lag6,log_rv_lag7,log_rv_lag8,log_rv_lag9,log_rv_lag10,log_rv_lag11,log_rv_lag12
2012-07-31,0.0033091142062745293,-5.711074736804909,0.0,0.0,0.0,0.0,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857,-6.33625994591853
2012-08-31,0.0016096876019720686,-6.431715154855387,0.0,0.0,0.0,0.0,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739,-4.094820869593857
2012-09-30,0.002291739364456054,-6.078444201929033,0.0,0.0,0.0,0.0,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799,-4.183646227185739
2012-10-31,0.0010523428709075938,-6.856736294851991,0.0,0.0,0.0,0.0,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389,-4.981352993706799
2012-11-30,0.0012175408599273418,-6.7109221430554005,0.0,0.0,0.0,0.0,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111,-4.857962634426389
2012-12-31,0.0005170163969224186,-7.5674359684415204,0.0,0.0,0.0,0.0,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223,-5.190070719650111
2013-01-31,0.0010313812368585183,-6.87685636842823,0.0,0.0,0.0,0.0,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408,-6.030459621236223
2013-02-28,0.0009981988826328824,-6.909558020311397,0.0,0.0,0.0,0.0,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015,-6.45518833711408
2013-03-31,0.0007290733792136995,-7.223736173663616,0.0,0.0,0.0,0.0,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731,-6.901831945571015
2013-04-30,0.0013712502774129583,-6.5920323440682305,0.0,0.0,0.0,0.0,-7.223736173663616,-6.909558020311397,-6.87685636842823,-7.5674359684415204,-6.7109221430554005,-6.856736294851991,-6.078444201929033,-6.431715154855387,-5.711074736804909,-5.655146376591946,-5.615751340329266,-6.719728229945731
